配送单号,出库日期,门店名称,SKU名称,数量,单位,单价,金额,备注
DP20260705001,2026-07-04,朝阳旗舰店,东北大米5kg,20,袋,49.90,998.00,常温配送
DP20260705001,2026-07-04,朝阳旗舰店,特仑苏纯牛奶,30,箱,65.00,1950.00,
DP20260705001,2026-07-04,朝阳旗舰店,金龙鱼橄榄油,15,瓶,89.00,1335.00,易碎品
DP20260705002,2026-07-04,海淀分店,蓝莓果酱,25,罐,18.50,462.50,
DP20260705002,2026-07-04,海淀分店,汰渍洗衣液,18,瓶,35.90,646.20,
DP20260705003,2026-07-05,西城店,维达纸巾,40,提,25.80,1032.00,
DP20260705003,2026-07-05,西城店,农夫山泉矿泉水,35,箱,36.00,1260.00,
DP20260705004,2026-07-05,通州仓,费列罗巧克力,12,盒,88.00,1056.00,冷链运输
DP20260705004,2026-07-05,通州仓,东北大米5kg,10,袋,49.90,499.00,常温配送
DP20260705005,2026-07-05,大兴店,三只松鼠坚果,22,袋,39.90,877.80,
